"Field","ID","Type (Type)","default","en-us","ar-sa","bg-bg","zh-cn","zh-tw","hr-hr","cs-cz","da-dk","nl-nl","fi-fi","fr-fr","de-de","el-gr","he-il","hu-hu","id-id","it-it","ja-jp","ko-kr","lv-lv","lt-lt","ms-my","nb-no","fa-ir","pl-pl","pt-br","pt-pt","ro-ro","ru-ru","sr-latn-rs","sk-sk","sl-si","es-es","sv-se","th-th","tr-tr","uk-ua","vi-vn"
"XboxFeaturedPromo1080x1080","610","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo358x358","611","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo1000x800","612","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo414x180","613","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature1","700","Text","","Format USB, flash card and virtual drives to FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","","","","","","","","","","Formatez des périphériques USB, des cartes flash et des disques virtuels en FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature2","701","Text","","Create FreeDOS bootable USB drives","","","","","","","","","","Créez des disques amorçable FreeDOS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature3","702","Text","","Create bootable drives from bootable ISOs (Windows, Linux, etc.)","","","","","","","","","","Créez des disques amorçables à partir d'images ISOs (Windows, Linux, etc.)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature4","703","Text","","Create bootable drives from bootable disk images, including compressed ones","","","","","","","","","","Créez des disques amorçables à partir d'images disque, y compris à partir d'images compressées","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature5","704","Text","","Create BIOS or UEFI bootable drives, including UEFI bootable NTFS","","","","","","","","","","Créez des disques amorçables BIOS ou UEFI, y compris des disques UEFI amorçables utilisant NTFS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature6","705","Text","","Create 'Windows To Go' drives","","","","","","","","","","Créez des disques 'Windows To Go'","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature7","706","Text","","Create Windows 11 installation drives for PCs that don't have TPM or Secure Boot","","","","","","","","","","Créez des disques d'installation Windows 11 pour des PCs qui ne disposent pas de TPM ou Secure Boot","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature8","707","Text","","Create persistent Linux partitions","","","","","","","","","","Créez des partitions persistentes pour Linux","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature9","708","Text","","Create VHD/DD images of the selected drive","","","","","","","","","","Créez des images VHD/DD du périphérique sélectionné","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature10","709","Text","","Compute MD5, SHA-1, SHA-256 and SHA-512 checksums of the selected image","","","","","","","","","","Calculez les sommes de contrôle MD5, SHA-1, SHA-256 et SHA-512 de l'image sélectionnée","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature11","710","Text","","Perform bad blocks checks, including detection of ""fake"" flash drives","","","","","","","","","","Executez un test de mauvais secteurs avec detection des ""fake drives\","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature12","711","Text","","Download official Microsoft Windows retail ISOs","","","","","","","","","","Téléchargez des images ISOs commerciales officielles de Microsoft Windows","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature13","712","Text","","Download UEFI Shell ISOs","","","","","","","","","","Téléchargez des images ISOs du Shell UEFI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feature14","713","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature15","714","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature16","715","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature17","716","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature18","717","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature19","718","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature20","719","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq1","800","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq2","801","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq3","802","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq4","803","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq5","804","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq6","805","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq7","806","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq8","807","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq9","808","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq10","809","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinimumHardwareReq11","810","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq1","850","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq2","851","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq3","852","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq4","853","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq5","854","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq6","855","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq7","856","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq8","857","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq9","858","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq10","859","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RecommendedHardwareReq11","860","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm1","900","Text","Boot","Boot","","","","","","","","","","Amorçable","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SearchTerm2","901","Text","USB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm3","902","Text","ISO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm4","903","Text","Windows",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm5","904","Text","Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm6","905","Text","UEFI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SearchTerm7","906","Text","Windows To Go",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerToPlayAtTopOfListing","999","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer1","1000","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer2","1001","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer3","1002","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer4","1003","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer5","1004","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer6","1005","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer7","1006","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer8","1007","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer9","1008","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer10","1009","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer11","1010","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer12","1011","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer13","1012","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer14","1013","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trailer15","1014","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle1","1020","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle2","1021","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle3","1022","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle4","1023","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle5","1024","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle6","1025","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle7","1026","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle8","1027","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle9","1028","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle10","1029","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle11","1030","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle12","1031","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle13","1032","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle14","1033","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerTitle15","1034","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail1","1040","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail2","1041","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail3","1042","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail4","1043","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail5","1044","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail6","1045","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail7","1046","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail8","1047","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail9","1048","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail10","1049","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail11","1050","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail12","1051","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail13","1052","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail14","1053","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrailerThumbnail15","1054","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
